post_id,username,created_at,cooked,post_num,updated_at,reply_count,reply_to_post_num,reads,topic_id,user_id,topic_slug,forum
372592,RileyJones,2020-04-16T14:13:01.181Z,hello riley support team thank much reaching prevent happening could new date field added collection original publish date could sort date affected date hopefully bit please let know additional riley,,2020-04-16T14:13:01.181Z,1,,18,116091,28312,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
372618,Fonsume,2020-04-16T15:15:11.373Z,hey riley thanks sure manually update field every post great solution pretty much every field like standard point last field likely always last especially add originally field us pretty much critical doubly set publish time feature soon please send,,2020-04-16T15:15:11.373Z,1,,16,116091,29761,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
374172,Fonsume,2020-04-21T10:52:40.461Z,nothing custom already extremely slow use editor get around bug good fix know fixed along set publish time feature,,2020-04-21T10:52:40.461Z,1,,15,116091,29761,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
374240,RileyJones,2020-04-21T14:20:43.346Z,hi completely understand frustration add every post order want place working towards improving kind experience specific often needing update old,,2020-04-21T14:20:43.346Z,1,,15,116091,28312,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
374282,Fonsume,2020-04-21T15:17:05.422Z,great hear working hear really often need update old could potentially every day multiple times per day publish anything every day,,2020-04-21T15:17:05.422Z,0,,16,116091,29761,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
374644,WebDev_Brandon,2020-04-22T13:59:49.289Z,hi stepping riley help issue like work high priority team make sure solve quickly possible old create new reflect reasoning behind many older knew choice help bit great day happy designing,,2020-04-22T13:59:49.289Z,1,,15,116091,16775,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
374656,Fonsume,2020-04-22T14:38:53.333Z,hey sure thing old sometimes want add image get new something need move something around text field wrong image forgot optimize image relative work want add reference another post maybe embed work see need update item create new reflect never anyone new post typo fixed reasoning behind many older older post mean post latest post talking though sometimes strange built way sort anything originally yet two similar something,,2020-04-22T14:38:53.333Z,1,,15,116091,29761,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
374745,WebDev_Brandon,2020-04-22T17:46:28.450Z,thank providing clarity really appreciate discussion team look matter however great day happy designing,,2020-04-22T17:46:28.450Z,2,,13,116091,16775,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
375034,Fonsume,2020-04-23T10:58:47.150Z,wonderful stuff thank much option actually set publish time also past would great bet lot people looking import old would happy,,2020-04-23T10:58:47.150Z,0,,11,116091,29761,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
393340,Fonsume,2020-06-19T09:40:20.930Z,hey pain manually add legacy publish date older,,2020-06-19T09:40:20.930Z,1,,8,116091,29761,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
394486,WebDev_Brandon,2020-06-23T12:53:58.368Z,hi nothing share yet great day happy designing,,2020-06-23T12:53:58.368Z,0,,7,116091,16775,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
404950,dmtintner,2020-07-30T17:59:16.556Z,extremely basic functionality every world works like extremely common someone need edit post realistic use case someone post also want immediately overwrite original publish date use people edit already optimize post update broken links post external change time update post new information new data use well make people better help generate traffic another date field post realistic user update field exact time publish post date accurate entire purpose,,2020-07-30T17:59:16.556Z,0,,2,116091,39715,publishing-changes-to-already-published-cms-item-sets-new-publish-time,webflow
404951,casen,2020-07-30T17:59:26.647Z,hi would best way go appear upon click site like image page would done page different display size important thanks,,2020-07-30T17:59:26.647Z,0,,5,131222,37358,looking-to-recreate-the-functionality-of-this-portfolio-site,webflow
403917,dannytaro,2020-07-27T16:40:05.020Z,landed gig new student newspaper built new love interested done via file also trying decide way complete project learning new rather tedious would much anyone could shed light following featured obviously nightmare doable official tutorial link embed old project quick way resolve may real killer sure easy way manage tags let alone migrate tags keep linked respective goes author text collection item ton thorough information could design manage content happy designing sure could get aesthetic result however losing key functionality tedious work probably worth,,2020-07-27T16:46:54.851Z,0,,10,130709,33975,wordpress-to-webflow-migration,webflow
404952,JudoHacker,2020-07-30T17:59:38.554Z,currently building solution exact problem reference authors interested would love help migration give chance put sign free private beta get touch,,2020-07-30T17:59:38.554Z,0,,4,130709,39714,wordpress-to-webflow-migration,webflow
